id;apellido;fechaHora
CITA-030;Villacís;2025-03-01T15:05
CITA-003;Cedeño;2025-03-02T11:19
CITA-020;Cedeño;2025-03-02T12:59
CITA-014;Mendoza;2025-03-02T16:32
CITA-013;Mendoza;2025-03-02T18:42
CITA-094;Ramírez;2025-03-02T19:03
CITA-046;Chávez;2025-03-03T07:27
CITA-060;Castillo;2025-03-03T10:03
CITA-092;Cabrera;2025-03-03T21:05
CITA-098;Zambrano;2025-03-04T08:17
CITA-059;Villacís;2025-03-04T11:58
CITA-078;Mora;2025-03-04T13:59
CITA-051;Mora;2025-03-04T22:04
CITA-064;Pazmiño;2025-03-04T23:09
CITA-010;Zambrano;2025-03-05T06:57
CITA-039;García;2025-03-05T13:18
CITA-015;Ortega;2025-03-05T14:20
CITA-041;Sánchez;2025-03-05T17:38
CITA-036;Mora;2025-03-11T03:10
CITA-038;Cortez;2025-03-05T23:38
CITA-008;Villacís;2025-03-05T23:57
CITA-002;Viteri;2025-03-06T09:36
CITA-049;Chávez;2025-03-07T00:20
CITA-007;Cedeño;2025-03-07T16:24
CITA-035;Cedeño;2025-03-08T09:49
CITA-031;Guerrero;2025-03-08T14:23
CITA-072;Naranjo;2025-03-08T17:39
CITA-021;Cabrera;2025-03-26T21:01
CITA-081;Cárdenas;2025-03-09T02:55
CITA-058;Paredes;2025-03-10T02:01
CITA-022;Villacís;2025-03-10T09:11
CITA-075;Cárdenas;2025-03-10T20:50
CITA-099;Mora;2025-03-10T22:26
CITA-066;Jiménez;2025-03-05T22:19
CITA-016;Villacís;2025-03-11T06:48
CITA-090;Chávez;2025-03-11T07:52
CITA-026;Chávez;2025-03-11T08:46
CITA-006;Luna;2025-03-11T11:48
CITA-062;Bravo;2025-03-11T16:55
CITA-093;Sánchez;2025-03-11T18:10
CITA-055;Cedeño;2025-03-29T11:35
CITA-065;Rojas;2025-03-11T22:16
CITA-083;Jiménez;2025-03-12T11:23
CITA-005;Mendoza;2025-03-12T11:29
CITA-045;Cárdenas;2025-03-13T08:55
CITA-076;Rojas;2025-03-13T11:36
CITA-097;Bravo;2025-03-13T12:26
CITA-087;Luna;2025-03-13T14:51
CITA-004;Cárdenas;2025-03-13T20:24
CITA-034;Cabrera;2025-03-13T23:30
CITA-073;Viteri;2025-03-18T04:20
CITA-029;Rojas;2025-03-13T23:51
CITA-063;Ramírez;2025-03-14T12:05
CITA-053;Viteri;2025-03-14T16:13
CITA-095;Cabrera;2025-03-15T16:33
CITA-091;Suárez;2025-03-16T02:12
CITA-037;Pazmiño;2025-03-16T15:39
CITA-033;Zambrano;2025-03-16T19:38
CITA-089;Naranjo;2025-03-26T16:20
CITA-074;Rojas;2025-03-17T12:03
CITA-042;Rojas;2025-03-17T16:06
CITA-056;Vera;2025-03-17T19:00
CITA-071;Villacís;2025-03-17T22:29
CITA-068;Zambrano;2025-03-13T23:37
CITA-050;Escobar;2025-03-18T13:27
CITA-086;Bravo;2025-03-18T14:27
CITA-040;García;2025-03-18T14:58
CITA-067;Bravo;2025-03-18T15:11
CITA-096;Cedeño;2025-03-19T14:10
CITA-025;Mora;2025-03-20T10:13
CITA-012;León;2025-03-20T12:51
CITA-032;Mora;2025-03-20T13:36
CITA-027;Suárez;2025-03-21T18:39
CITA-069;Castillo;2025-03-21T23:14
CITA-047;Chávez;2025-03-22T05:48
CITA-085;Ramírez;2025-03-22T08:54
CITA-018;Luna;2025-03-24T07:58
CITA-082;Cedeño;2025-03-25T15:25
CITA-048;Cárdenas;2025-03-25T17:42
CITA-024;Ortega;2025-03-26T03:13
CITA-009;Paredes;2025-03-26T03:41
CITA-052;León;2025-03-26T10:58
CITA-043;Rojas;2025-03-16T23:41
CITA-084;Cortez;2025-03-08T18:28
CITA-100;Naranjo;2025-03-27T03:30
CITA-057;Escobar;2025-03-27T14:37
CITA-028;Naranjo;2025-03-28T03:38
CITA-011;Escobar;2025-03-28T04:58
CITA-019;Ortega;2025-03-28T17:33
CITA-044;Valencia;2025-03-28T19:25
CITA-079;Cedeño;2025-03-29T01:20
CITA-017;Ramírez;2025-03-11T22:07
CITA-054;Pazmiño;2025-03-29T22:38
CITA-080;Luna;2025-03-30T05:33
CITA-070;Zambrano;2025-03-30T06:20
CITA-001;Paredes;2025-03-30T10:25
CITA-088;Ramírez;2025-03-30T11:03
CITA-077;Paredes;2025-03-30T19:49
CITA-023;Naranjo;2025-03-30T21:50
CITA-061;Paredes;2025-03-31T10:16
